Gujarati,English
ભાગ,part
ઇતિહાસ,history
શોધ,search
ફક્ત,only
પોલીસ,police
વિચાર,thought
મદદ,help
વિનંતી,request
પ્રકાર,kind
માસ,month
ભાઈ,brother
છોડી દેવું,let
કારણ,because
મૂકવો,to put
કોઈ,no
કાબૂમાં રાખવું,leash
તેમને,them
શહેર,city
દરેક,each
બોલવું,speak
આવવું,come
ફરજિયાત,should
બાળક,baby
ઘણા સમય,long time
સમય,hours
વિલ,will
સમય,while
ફરી મળીએ,meet again
કોઈ પણ વસ્તુ,any
ચોરસ,square
બોલવું,speak
સમજતું,understood
જાણવું,knew
હતી,were
ચેતવણી,Warning
અહીં છે,here is
શકવું,could
કેસ,case
આપવું,give
પ્રકાર,type
તેમનું,their
આપવું,given
તાલીમ,train
મંડળ,body
સ્થાન,place
નજર,eyes
માર્ગ,way
સાંભળવું,listen
કોનું,whose
શોધો,find
પ્રથમ,first
ખોવાયેલું,lost
હાથ,hand
પ્રથમ,first
બાજુ,side
શક્તિ,power
વૃદ્ધ,old
હોવું,be
આ અહીં,here
સવાર,morning
ઘણુ બધુ,so much
બાળક,child
બિંદુ,point
વિધિ,came
પછી,after
માફ કરશો,sorry
આવવું,come
ની સામે,in front of
તરફ,towards
પ્રકાર,minutes
વિનંતી,request
શયનખંડ,bedroom
મૂકવામાં,placed
સુંદર,beautiful
કાયદો,law
ગમશે,would like to
આજ,today
પતિ,husband
કારણ,cause
છેવટે,finally
આશા,hope
પાણી,water
રાહ જોવી,Wait
ડાબી બાજુ,left
નવું,new
કામ,job
બંધ,Stop
કહે છે,would say
પૃથ્વી,Earth
હિસાબ,account
આપવું,given
દૂર,far
અંત,end
માનવું,believe
પ્રેમિકા,sweetheart
મોટું,large
વધુ રીતે,rather
હશે,will have
છોકરી,girls
રમવું,to play
પદ,office
